Kabupaten,Kecamatan,Total Prelist,Total Draft,Total Open,Total Submitted,Total Rejected,Total Approved,Submitted Pencacah,Submitted Respondent,Persentase,Today Completed,Yesterday Completed,New Usaha,New Rumah
[08] PARIGI MOUTONG,[041] TINOMBO SELATAN,12651,784,4112,7755,134,4476,3145,0,61.3,0,0,908,482
[08] PARIGI MOUTONG,[042] SIDOAN,6066,428,2490,3148,58,2678,412,0,51.9,0,0,327,197
[08] PARIGI MOUTONG,[050] TOMINI,7497,140,3017,4340,72,3876,392,0,57.89,0,0,365,173
[08] PARIGI MOUTONG,[051] MEPANGA,13274,854,5096,7324,307,4219,2798,0,55.18,0,0,732,457
[08] PARIGI MOUTONG,[052] PALASA,10761,108,4753,5900,183,5605,112,0,54.83,0,0,630,317
[08] PARIGI MOUTONG,[060] MOUTONG,9629,99,3961,5569,699,3090,1780,0,57.84,0,0,340,156
[08] PARIGI MOUTONG,[061] BOLANO LAMBUNU,9612,257,3242,6113,15,4240,1858,0,63.6,0,0,609,414
[08] PARIGI MOUTONG,[062] TAOPA,6354,364,2677,3313,326,2133,854,0,52.14,0,0,174,115
[08] PARIGI MOUTONG,[063] BOLANO,7390,234,2647,4509,270,2196,2043,0,61.01,0,0,504,228
[08] PARIGI MOUTONG,[064] ONGKA MALINO,8620,88,3027,5505,247,4533,725,0,63.86,0,0,526,388
[09] TOJO UNA-UNA,[000] -,14,8,3,3,0,0,0,3,21.43,0,0,0,0
[09] TOJO UNA-UNA,[010] TOJO BARAT,5607,183,1944,3480,429,1904,1147,0,62.07,0,0,387,208
[09] TOJO UNA-UNA,[020] TOJO,5857,107,1956,3794,66,3062,666,0,64.78,0,0,407,215
[09] TOJO UNA-UNA,[030] ULUBONGKA,7862,45,2765,5052,58,4163,830,1,64.26,0,0,629,255
[09] TOJO UNA-UNA,[040] AMPANA TETE,11518,91,3717,7710,363,6487,860,0,66.94,0,0,692,206
[09] TOJO UNA-UNA,[050] AMPANA KOTA,9386,419,3284,5683,837,3739,1105,2,60.55,0,0,591,402
[09] TOJO UNA-UNA,[051] RATOLINDO,12849,145,5282,7422,903,5275,1242,2,57.76,0,0,647,664
